playerId,player,team,bye,exp,age,position,dataScrapeId,dstBlk,dstFumlRec,dstInt,dstPtsAllow,dstRetTd,dstSack,dstSafety,dstTd,fg,fg0019,fg2029,fg3039,fg4049,fg50,fgAtt,fgMiss,fumbles,games,idpAst,idpFumlForce,idpFumlRec,idpInt,idpPD,idpSack,idpSolo,idpTFL,idpTd,pass300,pass350,pass40,pass400,passAtt,passComp,passCompPct,passInc,passInt,passTds,passYds,rec,rec100,rec150,rec200,rec40,recTds,recYds,returnTds,returnYds,rush100,rush150,rush200,rush40,rushAtt,rushTds,rushYds,sacks,twoPts,xp,fpts,vab,price
2553554,Matt Lengel,FA,0.0,0.0,0.0,TE,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.971432974,0.1,0.04,0.01,0.0,0.158844376,46.30579353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.555078583,0.0,0
2553728,Raheem Mostert,SF,0.0,0.0,0.0,RB,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.561400894,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.61412456,0.0,0.0,0.0,0.0,1.408593859,192.8969339,0.0,0.0,2.3,0.7,0.2,0.0,172.8357697,7.514540083,894.0647101,0.0,0.0,0.0,179.16488993000002,47.282097572000026,19
2553743,Rod Smith,LVR,0.0,0.0,0.0,RB,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.549707242,0.0,0.0,0.0,0.0,0.0,16.78600924,0.0,0.0,0.07,0.02,0.01,0.0,7.057164869,0.16,11.42,0.0,0.0,0.0,6.330308166,0.0,0
2553744,Eric Tomlinson,NYG,0.0,0.0,0.0,TE,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.518918919,0.0,0.0,0.0,0.0,0.671231231,68.30768769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.377075074,0.0,0
2553895,Adam Humphries,TEN,0.0,0.0,0.0,WR,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51266766,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.81197415,0.9,0.3,0.1,0.0,2.527564297,485.052234,0.0,0.0,0.0,0.0,0.0,0.0,0.740363636,0.0,3.451636364,0.0,0.0,0.0,107.2897439884,0.0,0
2553896,Darius Jennings,LAC,0.0,0.0,0.0,WR,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.879383667,0.04,0.01,0.0,0.0,0.079383667,25.2961171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.885297379000001,0.0,0
2553913,Tyrell Williams,LVR,0.0,0.0,0.0,WR,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658867362,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.77742656,1.1,0.4,0.1,0.0,4.246414523,652.5424206,0.0,0.0,0.0,0.0,0.0,0.0,0.439869091,0.0,3.32224,0.0,0.0,0.0,132.865777672,0.0,0
2554630,Ross Travis,NYJ,0.0,5.0,27.0,TE,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.529768875,0.1,0.04,0.01,0.0,0.158767334,45.09192604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.791565483,0.0,0
2555209,Chris Moore,BAL,0.0,4.0,27.0,WR,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.10403698,0.2,0.08,0.03,0.0,0.360308166,82.9824037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.564126346000002,0.0,0
2555214,Laquon Treadwell,ATL,0.0,4.0,25.0,WR,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.24171206,0.3,0.1,0.04,0.0,1.022392996,194.3334825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.809418286,0.0,0
2555220,Derek Watt,PIT,0.0,4.0,28.0,RB,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.19,37.18,0.0,0.0,0.0,0.0,0.0,0.0,4.31,0.16,17.42,0.0,0.0,0.0,12.060000000000002,0.0,0
2555223,Devontae Booker,LVR,0.0,4.0,28.0,RB,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.03582766,0.0,0.0,0.0,0.0,0.038941799,119.5725472,0.0,0.0,0.2,0.08,0.03,0.0,26.37371126,0.783393574,113.2788755,0.0,0.0,0.0,41.254982168000005,0.0,0
2555224,Ezekiel Elliott,DAL,0.0,4.0,25.0,RB,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.220268256,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.04224442,0.0,0.0,0.0,0.0,2.771487895,506.7681594,0.0,0.0,2.6,0.9,0.3,0.0,292.3822914,10.74478231,1342.905471,0.0,0.0,0.0,320.446423922,188.56363156400002,77
2555227,Jonathan Williams,DET,0.0,4.0,26.0,RB,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,0.0,0.0,0.0,0.0,0.09,16.34,0.0,0.0,0.0,0.0,0.0,0.0,3.67,0.15,15.0,0.0,0.0,0.0,6.834,0.0,0
